,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,trending,github_release_downloads,updated_github_id
54,TROPIC,,fevrem/TROPIC,,https://github.com/fevrem/TROPIC,https://github.com/fevrem/TROPIC,BSD-3-Clause,2020-02-18 15:49:01,2021-05-16 04:03:42.000,2021-05-16 04:03:41,325.0,,13.0,4.0,10.0,,1.0,56.0,2021-01-18 23:06:26.000,1.0,1.0,TROPIC: TRajectory OPtimization In CasADi.,,,2.0,7,,,,,,,,,False,robotics,3,,,
55,3dpredictsim,,antoinefalisse/3dpredictsim,,https://github.com/antoinefalisse/3dpredictsim,https://github.com/antoinefalisse/3dpredictsim,MIT,2019-07-20 05:14:08,2022-06-21 00:57:24.000,2022-06-21 00:57:24,138.0,,22.0,2.0,8.0,,3.0,45.0,,,,Generate 3D muscle-driven predictive simulations of human movement using direct collocation and algorithmic..,,,2.0,7,,,,,,,,,False,robotics,3,,,
56,TuneMPC,,jdeschut/tunempc/,,https://github.com/jdeschut/tunempc,https://github.com/jdeschut/tunempc/,LGPL-3.0,2020-03-02 13:55:33,2025-05-26 12:47:19.000,2021-01-13 11:54:26,221.0,,5.0,2.0,14.0,1.0,,41.0,,,,TuneMPC is a Python package for economic tuning of nonlinear model predictive control (NMPC) problems.,,,,7,,,,,,,,,False,mpc,3,,,
57,casiopeia,,adbuerger/casiopeia,,https://github.com/adbuerger/casiopeia,https://github.com/adbuerger/casiopeia,LGPL-3.0,2016-01-04 08:39:35,2020-03-11 15:35:29.000,2020-03-11 15:35:12,138.0,,6.0,3.0,1.0,11.0,11.0,38.0,,,,Casadi Interface for Optimum experimental design and Parameter Estimation and Identification Applications.,6.0,6.0,1.0,7,,,,,,,,,False,others,3,,,
58,CasADi.jl,,ichatzinikolaidis/CasADi.jl,,https://github.com/ichatzinikolaidis/CasADi.jl,https://github.com/ichatzinikolaidis/CasADi.jl,MIT,2019-04-11 14:04:16,2020-12-01 01:48:18.000,2020-12-01 01:48:11,65.0,,9.0,4.0,3.0,2.0,2.0,26.0,,,,Julia interface to CasADi via PyCall.,,,4.0,7,,,,,,,,,True,casadi-devs,3,,,
59,OOQP,,emgertz/OOQP,,https://github.com/emgertz/OOQP,http://www.cs.wisc.edu/~swright/ooqp,,2012-06-18 00:33:52,2016-10-09 23:18:07.000,2016-10-02 23:15:39,143.0,,30.0,6.0,1.0,4.0,1.0,81.0,,,,"Source repository for OOQP, a quadratic programming solver (and more).",,,3.0,6,,,,,,,,,False,solver,3,,,
60,horizon,,ADVRHumanoids/horizon,,https://github.com/ADVRHumanoids/horizon,https://advrhumanoids.github.io/horizon/,,2021-12-13 17:33:20,2026-01-29 16:21:34.000,2026-01-28 11:58:02,2600.0,1.0,11.0,2.0,5.0,13.0,1.0,81.0,,,,"an intuitive optimization tool tailored to robotics, based on CasADi.",,,5.0,6,,,,,,,,,True,robotics,3,,,
61,UKF-SNMPC,,Eric-Bradford/UKF-SNMPC,,https://github.com/Eric-Bradford/UKF-SNMPC,https://github.com/Eric-Bradford/UKF-SNMPC,MIT,2018-12-28 18:16:46,2023-01-29 10:32:24.000,2023-01-29 10:32:24,21.0,,22.0,1.0,1.0,,1.0,62.0,2018-12-28 21:57:18.000,1.0,1.0,This repository contains the source code for Unscented Kalman filter stochastic nonlinear model predictive control..,,,1.0,6,,,,,,,,,False,article,1,,,
62,mopeds,mopeds,,,,https://git.tu-berlin.de/dbta/optimization/mopeds,MIT,,2025-04-14 07:10:31.000,,,,,,,,,,2023-12-13 14:27:57.000,0.10.1,5.0,"Simulate and Optimize (Parameter Estimation, Optimal Experimental Design) NLE, ODE and DAE.",,,,6,https://pypi.org/project/mopeds,2025-04-14 07:10:31.000,,42.0,42.0,,,,True,others,3,,,
63,mpc-DL-controller,,ell-hol/mpc-DL-controller,,https://github.com/ell-hol/mpc-DL-controller,https://github.com/ell-hol/mpc-DL-controller,,2018-08-15 10:46:01,2019-05-01 13:00:52.000,2019-05-01 13:00:51,10.0,,38.0,2.0,,,,93.0,,,,Deep Neural Network architecture as a predictive optimal controller for {HVAC+Solar cell + battery} disturbance..,,,3.0,5,,,,,,,,,False,article,2,,,
64,SDD-GP-MPC,,Eric-Bradford/SDD-GP-MPC,,https://github.com/Eric-Bradford/SDD-GP-MPC,https://github.com/Eric-Bradford/SDD-GP-MPC,MIT,2023-03-05 19:30:20,2023-04-09 09:18:23.000,2023-04-09 09:18:23,10.0,,7.0,1.0,,,,67.0,,,,This repository contains the source code for Stochastic data-driven model predictive control using Gaussian processes..,,,1.0,5,,,,,,,,,False,article,2,,,
65,nlgreyfast,,meco-group/nlgreyfast,,https://github.com/meco-group/nlgreyfast,https://github.com/meco-group/nlgreyfast,AGPL-3.0,2021-09-28 21:30:55,2023-09-24 16:54:10.000,2022-05-08 18:22:30,15.0,,5.0,4.0,,3.0,,26.0,,,,Toolbox for system identification of nonlinear state space grey-box models using CasADi.,,,1.0,5,,,,,,,,,False,others,3,,,
66,pympc_panoc_ipopt,,mizuhoaoki/pympc_panoc_ipopt,,https://github.com/MizuhoAOKI/pympc_panoc_ipopt,https://alphaville.github.io/optimization-engine/,MIT,2022-05-14 19:22:29,2023-10-25 12:52:55.000,2023-10-25 12:52:55,8.0,,1.0,2.0,,,,31.0,,,,"MPC pathtracking implementation with python, solved by PANOC/IPOPT.",,,1.0,4,,,,,,,,,False,others,3,,,
67,paresto,,rawlings-group/paresto,,https://github.com/rawlings-group/paresto,https://github.com/rawlings-group/paresto,,2018-04-20 04:27:51,2024-10-26 20:28:40.000,2024-10-26 20:28:38,110.0,,1.0,5.0,4.0,4.0,4.0,3.0,,,,A parameter estimation tool for MATLAB/Octave based on CasADi.,,,5.0,4,,,,,,,,,False,others,3,,,
68,quadrotor_mpc,,duynamrcv/quadrotor_mpc,,https://github.com/duynamrcv/quadrotor_mpc,https://github.com/duynamrcv/quadrotor_mpc,,2021-12-17 09:38:07,2022-01-04 15:31:23.000,2022-01-04 15:31:04,8.0,,10.0,1.0,,,,59.0,,,,The implement for the Quadrotor trajectory tracking using MPC with CasADi library.,,,1.0,3,,,,,,,,,False,robotics,3,,,
69,differentiable_nmpc,,freyjo/differentiable_nmpc,,https://github.com/FreyJo/differentiable_nmpc,https://github.com/freyjo/differentiable_nmpc,,2025-05-02 09:35:32,2026-01-29 10:57:10.000,2025-11-13 15:25:33,24.0,1.0,2.0,2.0,1.0,1.0,1.0,34.0,,,,Differentiable Nonlinear Model Predictive Control.,,,,3,,,,,,,,,False,article,3,,,
70,diff_uv,,edxmorgan/diff_uv,,https://github.com/edxmorgan/diff_uv,https://github.com/edxmorgan/diff_uv,AGPL-3.0,2024-05-13 01:10:35,2026-02-01 03:47:03.000,2026-02-01 03:45:53,1.0,1.0,5.0,3.0,9.0,1.0,1.0,20.0,,,,A differentiable underwater vehicle dynamics.,,,,3,,,,,,,,,False,robotics,3,-2.0,,
71,MPCTools,,,,,https://bitbucket.org/rawlings-group/mpc-tools-casadi,GNU General Public License v3.0,,,,,,,,,,,,,,,MPCTools: Nonlinear Model Predictive Control Tools for CasADi (Python Interface).,,,,2,,,,,,,,,True,mpc,3,,,
