,name,pypi_id,github_id,conda_id,homepage,category,github_url,license,created_at,updated_at,projectrank,fork_count,contributor_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,projectrank_placing,new_addition
23,mpc-DL-controller,,ell-hol/mpc-DL-controller,,https://github.com/ell-hol/mpc-DL-controller,others,https://github.com/ell-hol/mpc-DL-controller,,2018-08-15 10:46:01.000,2019-05-01 13:00:52.000,5,29.0,1.0,,31.0,Deep Neural Network architecture as a predictive optimal controller for {HVAC+Solar cell + battery} disturbance..,,,,,,,,,,,,,False,3.0,True
24,optibot,,AunSiro/optibot,,https://github.com/AunSiro/optibot,others,https://github.com/AunSiro/optibot,MIT,2025-02-11 16:24:23.691,2025-01-22 21:02:12.000,5,4.0,1.0,,15.0,Collocation methods for trajectory optimization for second or higher order systems.,,,,,,,,,,,,,False,3.0,True
25,spatial-casadi,,cmower/spatial-casadi,,https://github.com/cmower/spatial-casadi,others,https://github.com/cmower/spatial-casadi,LGPL-3.0,2023-03-12 21:26:21.000,2023-05-03 20:26:40.000,5,1.0,1.0,,6.0,Spatial transformation library for CasADi Python.,,,,,,,,,,,,,False,3.0,True
26,Learning-Based-MPC,,bevanda/Learning-Based-MPC,,https://github.com/bevanda/Learning-Based-MPC,others,https://github.com/bevanda/Learning-Based-MPC,,2019-02-19 17:27:20.000,2019-06-27 21:37:43.000,4,12.0,2.0,,23.0,Learning-Based Model Predictive Control (LBMPC).,,,,,,,,,,,,,False,3.0,True
27,quadrotor_mpc,,duynamrcv/quadrotor_mpc,,https://github.com/duynamrcv/quadrotor_mpc,others,https://github.com/duynamrcv/quadrotor_mpc,,2021-12-17 09:38:07.000,2022-01-04 15:31:23.000,4,4.0,1.0,,21.0,The implement for the Quadrotor trajectory tracking using MPC with CasADi library.,,,,,,,,,,,,,False,3.0,True
28,casadi_mpc_nyuumon,,proxima-technology/casadi_mpc_nyuumon,,https://github.com/proxima-technology/casadi_mpc_nyuumon,others,https://github.com/proxima-technology/casadi_mpc_nyuumon,,2023-07-27 11:57:43.000,2024-02-01 07:50:30.000,4,1.0,3.0,,14.0,,,,,,,,,,,,,,False,3.0,True
29,pympc_panoc_ipopt,,MizuhoAOKI/pympc_panoc_ipopt,,https://github.com/MizuhoAOKI/pympc_panoc_ipopt,others,https://github.com/MizuhoAOKI/pympc_panoc_ipopt,MIT,2022-05-14 19:22:29.000,2022-06-28 11:29:02.000,4,,1.0,,3.0,,,,,,,,,,,,,,False,3.0,True
30,mpc_casadi,,duynamrcv/mpc_casadi,,https://github.com/duynamrcv/mpc_casadi,others,https://github.com/duynamrcv/mpc_casadi,,2022-02-10 16:43:37.000,2022-04-04 14:29:44.000,3,6.0,1.0,,20.0,ROS implementation for omnidirectional mobile robot tracking and navigation using Nonlinear MPC based on CasADi toolkit.,,,,,,,,,,,,,False,3.0,True
31,MPC-Implementation,,devsonni/MPC-Implementation,,https://github.com/devsonni/MPC-Implementation,others,https://github.com/devsonni/MPC-Implementation,,2021-07-09 12:43:47.000,2022-05-23 06:27:21.000,3,3.0,1.0,,14.0,This repository has the code for the nonlinear model predictive controller for target tracking problems with the use..,,,,,,,,,,,,,False,3.0,True
32,mpc_quad,,smidmatej/mpc_quad,,,others,,,,,0,,,,,,,,,,,,,,,,,,False,,True
