,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,github_release_downloads,trending
10,casadi,casadi,casadi/casadi,conda-forge/casadi,https://github.com/casadi/casadi,http://web.casadi.org/,LGPL-3.0,2012-10-31 13:50:50,2025-09-10 07:51:06.000,,,,419.0,,,767.0,,2001.0,2025-09-10 07:51:06.000,3.7.2,46.0,CasADi is a symbolic framework for numeric optimization implementing automatic differentiation in forward and reverse..,179.0,,62.0,23,https://pypi.org/project/casadi,2025-09-10 07:51:06.000,179.0,513032.0,534446.0,https://anaconda.org/conda-forge/casadi,2025-09-04 12:13:38.520,1434771.0,True,casadi-devs,1,,-1.0
11,bioptim,,pyomeca/bioptim,conda-forge/bioptim,https://github.com/pyomeca/bioptim,https://github.com/pyomeca/bioptim,MIT,2020-03-31 13:46:21,2025-12-01 15:42:11.000,2025-11-25 13:11:01,8213.0,178.0,55.0,3.0,725.0,59.0,247.0,110.0,2025-11-25 13:12:32.000,Release_3.4.0,23.0,"An optimization framework that links CasADi, Ipopt, ACADOS and biorbd for Optimal Control Problem.",,,42.0,23,,,,,2707.0,https://anaconda.org/conda-forge/bioptim,2025-11-25 13:40:00.513,159720.0,True,robotics,2,13.0,
12,Deltares RTC-Tools,rtc-tools,rtc-tools/rtc-tools,,https://github.com/rtc-tools/rtc-tools,https://github.com/rtc-tools/rtc-tools,LGPL-3.0,2024-09-04 06:39:27,2025-11-28 13:49:52.000,2025-11-27 18:10:29,1448.0,33.0,8.0,3.0,127.0,38.0,1570.0,10.0,2025-11-28 14:01:28.000,2.7.2,86.0,"RTC-Tools is an open-source platform for the operational optimization of portfolios of assets, in particular storage..",33.0,22.0,21.0,23,https://pypi.org/project/rtc-tools,2025-11-28 13:49:52.000,11.0,17283.0,17283.0,,,,False,others,2,,1.0
13,acados,,acados/acados,,https://github.com/acados/acados,https://docs.acados.org/,,2016-04-05 10:06:48,2025-12-01 10:19:31.000,2025-12-01 10:19:31,8560.0,63.0,294.0,21.0,1350.0,51.0,318.0,1167.0,2025-11-14 12:44:35.000,0.5.2,34.0,Fast and embedded solvers for nonlinear optimal control and nonlinear model predictive control.,,,96.0,22,,,,,1.0,,,,True,mpc,1,94.0,
14,mpc-reinforcement-learning,mpcrl,FilippoAiraldi/mpc-reinforcement-learning,,https://github.com/FilippoAiraldi/mpc-reinforcement-learning,https://mpc-reinforcement-learning.readthedocs.io/,MIT,2022-11-28 16:27:04,2025-12-01 17:41:54.000,2025-11-25 15:02:55,1033.0,65.0,58.0,7.0,17.0,,9.0,594.0,2025-10-17 07:19:27.000,1.4.1,64.0,Reinforcement Learning with Model Predictive Control.,16.0,13.0,4.0,22,https://pypi.org/project/mpcrl,2025-10-17 07:16:13.000,3.0,1415.0,1415.0,,,,True,machine-learning,1,,
15,adam,adam-robotics,ami-iit/adam,conda-forge/adam-robotics-casadi,https://github.com/ami-iit/adam,https://adam-docs.readthedocs.io/en/latest/,BSD-3-Clause,2021-05-25 07:55:26,2025-11-28 15:50:34.000,2025-11-26 13:24:18,787.0,110.0,26.0,11.0,100.0,14.0,37.0,202.0,2025-10-15 13:29:53.000,0.4.0,19.0,"adam implements a collection of algorithms for calculating rigid-body dynamics in Jax, CasADi, PyTorch, and Numpy.",7.0,7.0,11.0,22,https://pypi.org/project/adam-robotics,2025-10-15 13:29:53.000,,2939.0,3077.0,https://anaconda.org/conda-forge/adam-robotics-casadi,2025-10-20 16:49:01.275,1804.0,True,robotics,2,25.0,
16,Clarabel,,oxfordcontrol/Clarabel.rs,conda-forge/clarabel,https://github.com/oxfordcontrol/Clarabel.rs,https://clarabel.org/,Apache-2.0,2022-04-17 13:48:34,2025-11-24 19:28:03.000,2025-09-25 13:24:15,629.0,1.0,37.0,12.0,148.0,14.0,49.0,490.0,2025-06-11 16:41:15.000,0.11.1,18.0,Clarabel.rs: Interior-point solver for convex conic optimisation problems in Rust.,48.0,48.0,11.0,21,,,,,11351.0,https://anaconda.org/conda-forge/clarabel,2025-09-25 16:18:15.210,295142.0,True,solver,3,,2.0
17,DAQP,daqp,darnstrom/daqp,conda-forge/daqp,https://github.com/darnstrom/daqp,https://github.com/darnstrom/daqp,MIT,2021-09-06 07:46:36,2025-11-30 20:33:01.000,2025-11-30 20:33:01,255.0,9.0,16.0,4.0,73.0,13.0,16.0,94.0,2025-07-29 13:01:01.000,0.7.2,10.0,A dual active-set algorithm for convex quadratic programming.,128.0,113.0,5.0,21,https://pypi.org/project/daqp,2025-07-29 13:01:01.000,15.0,114172.0,118130.0,https://anaconda.org/conda-forge/daqp,2025-05-13 07:10:18.750,126240.0,True,solver,3,555.0,
18,Pymoca,pymoca,pymoca/pymoca,,https://github.com/pymoca/pymoca,https://github.com/pymoca/pymoca,BSD-3-Clause,2014-06-09 22:42:19,2025-04-08 16:59:54.000,2025-03-04 18:16:01,1026.0,,26.0,13.0,229.0,58.0,69.0,91.0,2025-01-28 15:44:27.000,0.9.2,60.0,A Modelica to computer algebra system translator written in python.,28.0,22.0,14.0,19,https://pypi.org/project/pymoca,2025-01-28 15:44:22.000,6.0,28224.0,28224.0,,,,True,others,2,91.0,
19,HILO-MPC,hilo-mpc,hilo-mpc/hilo-mpc,,https://github.com/hilo-mpc/hilo-mpc,https://github.com/hilo-mpc/hilo-mpc,LGPL-3.0,2022-03-30 13:20:17,2025-11-10 13:39:18.000,2025-11-09 15:24:15,349.0,20.0,36.0,5.0,19.0,19.0,16.0,188.0,2025-11-09 15:39:59.000,2.1.0,9.0,"HILO-MPC is a Python toolbox for easy, flexible and fast development of machine-learning-supported optimal control and..",3.0,3.0,9.0,18,https://pypi.org/project/hilo-mpc,2025-11-09 15:20:09.000,,260.0,260.0,,,,True,mpc,2,18.0,
20,l4casadi,l4casadi,Tim-Salzmann/l4casadi,,https://github.com/Tim-Salzmann/l4casadi,https://github.com/Tim-Salzmann/l4casadi,MIT,2023-06-19 14:55:52,2025-06-05 15:17:30.000,2025-06-05 15:17:30,110.0,,43.0,11.0,7.0,3.0,68.0,524.0,2024-10-13 10:14:04.000,2.0.0,7.0,Use PyTorch Models with CasADi for data-driven optimization or learning-based optimal control. Supports Acados.,11.0,11.0,4.0,17,https://pypi.org/project/l4casadi,2024-10-13 10:14:04.000,,345.0,345.0,,,,True,machine-learning,2,,
21,casadi-nlp,csnlp,FilippoAiraldi/casadi-nlp,,https://github.com/FilippoAiraldi/casadi-nlp,https://github.com/FilippoAiraldi/casadi-nlp,MIT,2022-11-02 20:10:28,2025-12-01 17:42:07.000,2025-11-25 14:59:24,945.0,29.0,2.0,5.0,15.0,,1.0,26.0,2025-10-16 20:32:59.000,1.6.8,78.0,Nonlinear Progamming with CasADi.,27.0,22.0,4.0,17,https://pypi.org/project/csnlp,2025-10-16 20:24:41.000,5.0,7332.0,7332.0,,,,False,mpc,2,,
22,omg-tools,omg-tools,meco-group/omg-tools,,https://github.com/meco-group/omg-tools,https://github.com/meco-group/omg-tools,LGPL-3.0,2016-03-21 10:48:33,2024-09-12 15:29:08.000,2024-07-03 12:02:01,1759.0,,94.0,29.0,4.0,27.0,65.0,586.0,2017-12-01 14:36:31.000,0.1.3,4.0,Optimal Motion Generation-tools: motion planning made easy.,2.0,2.0,10.0,16,https://pypi.org/project/omg-tools,2017-12-01 14:36:31.000,,29.0,29.0,,,,True,robotics,2,,
23,MadNLP,,MadNLP/MadNLP.jl,,https://github.com/MadNLP/MadNLP.jl,https://madnlp.github.io/,MIT,2020-09-16 23:07:35,2025-11-26 08:39:19.000,2025-11-26 08:35:02,582.0,35.0,20.0,10.0,403.0,35.0,78.0,234.0,2025-09-08 08:18:58.000,0.8.12,30.0,A solver for nonlinear programming with GPU support.,,,18.0,16,,,,,,,,,True,solver,3,,
24,safe-control-gym,,utiasDSL/safe-control-gym,,https://github.com/utiasDSL/safe-control-gym,https://www.dynsyslab.org/safe-robot-learning/,MIT,2021-08-04 22:14:15,2025-11-06 19:47:30.000,2025-11-06 19:43:08,546.0,4.0,144.0,10.0,134.0,16.0,53.0,799.0,2024-10-21 14:55:01.000,1.0.0,4.0,PyBullet CartPole and Quadrotor environmentswith CasADi symbolic a priori dynamicsfor learning-based control and RL.,,,20.0,15,,,,,,,,,True,machine-learning,2,,
25,SIPPY,sippy_unipi,CPCLAB-UNIPI/SIPPY,,https://github.com/CPCLAB-UNIPI/SIPPY,https://github.com/CPCLAB-UNIPI/SIPPY,LGPL-3.0,2018-04-04 13:55:24,2025-10-14 09:22:26.000,2025-10-14 09:22:23,127.0,2.0,96.0,20.0,26.0,19.0,29.0,316.0,2025-09-02 09:31:24.000,1.0.1,3.0,Systems Identification Package for PYthon.,,,12.0,15,https://pypi.org/project/sippy_unipi,2025-09-02 09:31:24.000,,245.0,245.0,,,,True,others,2,,-1.0
26,liecasadi,liecasadi,ami-iit/liecasadi,conda-forge/liecasadi,https://github.com/ami-iit/liecasadi,https://github.com/ami-iit/liecasadi,BSD-3-Clause,2022-01-19 14:19:15,2025-07-15 08:29:02.000,2025-07-15 08:29:02,126.0,,8.0,18.0,14.0,1.0,5.0,86.0,2025-03-11 15:55:17.000,0.0.7,7.0,"Rigid transform using Lie groups and Dual Quaternions, written in CasADi!.",10.0,10.0,4.0,15,https://pypi.org/project/liecasadi,2025-03-11 15:55:57.000,,4847.0,5030.0,https://anaconda.org/conda-forge/liecasadi,2025-04-22 14:58:43.547,5326.0,True,others,2,13.0,
27,rockit,rockit-meco,meco-group/rockit,,https://github.com/meco-group/rockit,https://gitlab.kuleuven.be/meco-software/rockit,LGPL-3.0,2019-08-22 10:02:13,2025-05-08 14:22:54.000,2025-04-04 10:32:07,845.0,,11.0,14.0,2.0,6.0,3.0,57.0,2025-04-14 18:49:40.000,0.6.5,88.0,Rockit (Rapid Optimal Control kit) is a software framework to quickly prototype optimal control problems.,19.0,17.0,18.0,15,https://pypi.org/project/rockit-meco,2025-05-08 14:22:54.000,2.0,4785.0,4785.0,,,,True,casadi-devs,2,,
28,qpOASES,,coin-or/qpOASES,conda-forge/qpoases,https://github.com/coin-or/qpOASES,https://github.com/coin-or/qpOASES,LGPL-2.1,2020-02-19 04:13:16,2025-09-17 12:28:24.000,2025-09-17 12:28:24,196.0,2.0,143.0,14.0,15.0,81.0,59.0,498.0,,,2.0,Open-source C++ implementation of the recently proposed online active set strategy.,,,19.0,14,,,,,1742.0,https://anaconda.org/conda-forge/qpoases,2025-04-22 14:58:14.536,76661.0,True,solver,3,,-1.0
29,Fatrop,,meco-group/fatrop,conda-forge/libfatrop,https://github.com/meco-group/fatrop,https://meco-group.github.io/fatrop/,LGPL-3.0,2023-07-19 12:05:33,2025-09-29 12:51:46.000,2025-09-29 12:51:22,184.0,6.0,24.0,18.0,13.0,21.0,9.0,248.0,,,2.0,"Fatrop is a nonlinear optimal control problem solver that aims to be fast, support a broad class of optimal control..",,,5.0,14,,,,,5278.0,https://anaconda.org/conda-forge/libfatrop,2025-04-22 14:59:10.489,84455.0,True,solver,3,,
30,(Geometric) Fabrics,fabrics,tud-amr/fabrics,,https://github.com/tud-amr/fabrics,https://github.com/tud-amr/fabrics,GPL-3.0,2021-06-30 09:32:19,2025-02-01 00:57:30.000,2025-02-01 00:55:36,577.0,,11.0,6.0,101.0,16.0,28.0,85.0,2025-02-01 00:55:39.000,0.10.0,17.0,Optimization fabrics for behavior design.,18.0,16.0,7.0,14,https://pypi.org/project/fabrics,2025-02-01 00:57:23.000,2.0,105.0,105.0,,,,True,others,2,,
31,HPIPM,,giaf/hpipm,,https://github.com/giaf/hpipm,https://github.com/giaf/hpipm,,2017-05-12 08:20:10,2025-09-24 15:17:27.000,2025-09-24 15:17:15,1505.0,1.0,135.0,20.0,80.0,43.0,55.0,656.0,2020-08-13 11:22:57.000,0.1.3,4.0,High-performance interior-point-method QP and QCQP solvers.,,,27.0,13,,,,,,,,,True,solver,3,,
32,OpTaS,pyoptas,cmower/optas,,https://github.com/cmower/optas,https://cmower.github.io/optas/,Apache-2.0,2022-04-28 17:48:06,2025-11-01 00:14:51.000,2025-11-01 00:14:51,1039.0,2.0,18.0,2.0,94.0,9.0,54.0,136.0,2023-08-04 09:53:01.000,1.0.7,7.0,OpTaS: An optimization-based task specification library for trajectory optimization and model predictive control.,5.0,5.0,6.0,13,https://pypi.org/project/pyoptas,2023-08-04 09:53:01.000,,109.0,109.0,,,,True,mpc,2,,
33,pc-gym,pcgym,MaximilianB2/pc-gym,,https://github.com/MaximilianB2/pc-gym,https://maximilianb2.github.io/pc-gym/,MIT,2023-08-22 16:43:28,2025-11-10 17:51:38.000,2025-10-21 15:14:45,321.0,1.0,10.0,3.0,17.0,,12.0,69.0,2024-12-03 13:42:07.000,0.1.8,13.0,Reinforcement learning environments for process control applications.,5.0,5.0,7.0,13,https://pypi.org/project/pcgym,2024-12-03 13:42:07.000,,101.0,101.0,,,,True,machine-learning,3,,
34,MPOPT,mpopt,mpopt/mpopt,,https://github.com/mpopt/mpopt,https://mpopt.readthedocs.io/,LGPL-3.0,2020-06-18 18:10:34,2024-07-04 07:14:03.000,2024-07-04 07:11:37,226.0,,20.0,5.0,35.0,5.0,,63.0,2024-07-04 07:14:03.000,1.0.2,19.0,A pseudo-spectral collocation based multi-phase Optimal control problem solver.,3.0,3.0,6.0,13,https://pypi.org/project/mpopt,2024-07-04 07:14:03.000,,181.0,181.0,,,,True,mpc,2,,1.0
35,matADi,matadi,adtzlr/matadi,,https://github.com/adtzlr/matadi,https://github.com/adtzlr/matadi,GPL-3.0,2021-09-20 18:53:28,2025-08-28 19:30:43.000,2025-08-28 19:29:32,487.0,,2.0,4.0,86.0,2.0,56.0,31.0,2025-08-28 19:30:43.000,0.4.0,56.0,Material Definition with Automatic Differentiation.,5.0,3.0,2.0,13,https://pypi.org/project/matadi,2025-08-28 19:30:43.000,2.0,621.0,621.0,,,,False,others,2,,1.0
36,jaxadi,jaxadi,based-robotics/jaxadi,,https://github.com/based-robotics/jaxadi,https://github.com/based-robotics/jaxadi,MIT,2024-09-02 14:04:27,2025-02-23 04:21:56.000,2025-02-08 08:01:39,37.0,,6.0,9.0,9.0,2.0,9.0,168.0,2025-02-08 08:14:07.000,0.4.0,4.0,Transforms your CasADi functions into batchable JAX-compatible functions. By combining the power of CasADi with the..,1.0,1.0,3.0,12,https://pypi.org/project/jaxadi,2025-02-08 08:02:39.000,,43.0,43.0,,,,True,machine-learning,3,,
37,rbdl-orb,,ORB-HD/rbdl-orb,,https://github.com/ORB-HD/rbdl-orb,https://github.com/ORB-HD/rbdl-orb,,2019-03-26 10:51:42,2022-04-20 14:55:38.000,2022-04-20 14:55:38,1389.0,,48.0,4.0,47.0,15.0,,100.0,2021-09-30 12:53:24.000,3.1.3,2.0,RBDL - Rigid Body Dynamics Library - ORB Version - The two main differences to the original rbdl is that this version..,,,25.0,12,,,,,,,,,False,robotics,2,,
38,nosnoc,,nosnoc/nosnoc,,https://github.com/nosnoc/nosnoc,https://nosnoc.readthedocs.io/,BSD-2-Clause,2022-03-15 12:37:04,2025-04-16 13:43:32.000,2025-04-02 12:59:51,274.0,,10.0,5.0,96.0,28.0,27.0,68.0,2025-01-27 15:11:16.000,0.8.0,9.0,nosnoc is an open-source MATLAB software package for NOnSmooth Numerical Optimal Control. The Python package nosnoc_py..,,,3.0,12,,,,,,,,,True,mpc,3,,
39,urdf2casadi,,mahaarbo/urdf2casadi,,https://github.com/mahaarbo/urdf2casadi,https://github.com/mahaarbo/urdf2casadi,MIT,2018-02-20 14:36:43,2024-08-16 06:17:27.000,2023-05-31 08:28:17,179.0,,32.0,9.0,19.0,8.0,12.0,117.0,,,,Python library for getting a casadi function for the forward kinematics of a URDF chain.,8.0,8.0,10.0,11,,,,,,,,,False,robotics,3,,
40,leap-c,,leap-c/leap-c,,https://github.com/leap-c/leap-c,https://leap-c.github.io/leap-c/,,2024-12-13 17:04:18,2025-12-01 14:26:51.000,2025-12-01 14:24:37,243.0,65.0,25.0,4.0,168.0,5.0,15.0,93.0,,,1.0,Learning Predictive Control: A framework for integrating optimal control solvers into deep learning pipelines.,,,10.0,11,,,,,,,,,True,machine-learning,3,,
41,car-racing,,HybridRobotics/car-racing,,https://github.com/HybridRobotics/car-racing,https://github.com/HybridRobotics/car-racing,MIT,2021-02-04 23:32:58,2024-04-19 23:15:30.000,2024-04-19 23:15:30,78.0,,36.0,7.0,5.0,2.0,4.0,186.0,,,,A toolkit for testing control and planning algorithm for car racing.,,,3.0,10,,,,,,,,,True,others,3,,
42,Bonmin,,coin-or/Bonmin,,https://github.com/coin-or/Bonmin,https://coin-or.github.io/Bonmin/,EPL-1.0,2014-12-28 02:03:19,2024-09-29 13:20:04.000,2024-09-29 13:20:04,1245.0,,23.0,13.0,13.0,20.0,14.0,141.0,,,,Basic Open-source Nonlinear Mixed INteger programming.,,,11.0,10,,,,,,,,,True,solver,3,,
43,OpenAP,openap-top,junzis/openap-top,,https://github.com/junzis/openap-top,https://github.com/junzis/openap-top,LGPL-3.0,2022-04-04 09:27:21,2025-07-01 16:00:17.000,2025-07-01 15:58:57,82.0,,11.0,5.0,6.0,,7.0,35.0,2025-06-24 21:57:18.000,1.8,8.0,easy-peasy optimal flight trajectory.,4.0,4.0,3.0,10,https://pypi.org/project/openap-top,2025-06-24 21:57:43.000,,95.0,95.0,,,,False,robotics,3,,
44,openap-top,openap-top,junzis/openap-top,,https://github.com/junzis/openap-top,https://github.com/junzis/openap-top,LGPL-3.0,2022-04-04 09:27:21,2025-07-01 16:00:17.000,2025-07-01 15:58:57,82.0,,11.0,5.0,6.0,,7.0,35.0,2025-06-24 21:57:18.000,1.8,8.0,easy-peasy optimal flight trajectory.,4.0,4.0,3.0,10,https://pypi.org/project/openap-top,2025-06-24 21:57:43.000,,95.0,95.0,,,,False,others,3,,
45,pydecomp,pydecomp,jonarriza96/pydecomp,,https://github.com/jonarriza96/pydecomp,https://github.com/jonarriza96/pydecomp,MIT,2023-09-26 13:55:36,2024-12-16 00:16:07.000,2024-12-16 00:16:05,23.0,,4.0,1.0,,,,30.0,2024-12-16 00:13:44.000,1.0.1,3.0,A Python based implementation for fast convex decomposition of obstacle-free spaces.,4.0,4.0,1.0,10,https://pypi.org/project/pydecomp,2024-12-16 00:13:44.000,,47.0,47.0,,,,False,others,3,,
46,spatial-casadi,spatial-casadi,cmower/spatial-casadi,,https://github.com/cmower/spatial-casadi,https://github.com/cmower/spatial-casadi,LGPL-3.0,2023-03-12 21:26:21,2024-10-24 10:52:58.000,2024-09-20 00:44:29,91.0,,2.0,2.0,2.0,1.0,1.0,17.0,2023-05-03 20:29:01.205,1.1.0,6.0,Spatial transformation library for CasADi Python.,12.0,12.0,,10,https://pypi.org/project/spatial-casadi,2023-05-03 20:29:01.205,,3486.0,3486.0,,,,False,others,3,,
47,CAMINO,caminopy,minlp-toolbox/CAMINO,,https://github.com/minlp-toolbox/CAMINO,https://github.com/minlp-toolbox/CAMINO,GPL-3.0,2024-03-27 17:52:08,2025-09-22 09:08:29.000,2025-09-15 11:43:06,487.0,1.0,1.0,3.0,15.0,3.0,1.0,28.0,2025-08-12 16:47:21.000,0.1.4,5.0,Python-CasADi-based package containing several algorithms for solving mixed-integer nonlinear programs (MINLPs).,1.0,1.0,5.0,9,https://pypi.org/project/caminopy,2025-08-12 16:47:21.000,,21.0,21.0,,,,False,others,3,6.0,
48,casadi-neural-nets,csnn,FilippoAiraldi/casadi-neural-nets,,https://github.com/FilippoAiraldi/casadi-neural-nets,https://github.com/FilippoAiraldi/casadi-neural-nets,MIT,2022-12-29 09:31:16,2025-03-28 20:43:36.000,2025-03-28 20:42:29,98.0,,1.0,1.0,,,1.0,11.0,2025-02-17 11:56:31.000,1.0.6,19.0,Neural Networks with CasADi.,2.0,2.0,,9,https://pypi.org/project/csnn,2025-03-28 20:43:36.000,,56.0,56.0,,,,False,machine-learning,3,,
49,nMPyC,nmpyc,nMPyC/nmpyc,,https://github.com/nMPyC/nmpyc,https://nmpyc.readthedocs.io/,LGPL-3.0,2022-07-15 09:05:08,2025-06-11 13:09:58.000,2025-06-11 13:09:58,455.0,,6.0,1.0,1.0,,1.0,19.0,2024-10-09 13:47:05.000,1.1.0,5.0,MPC package for solving optimal control problems.,2.0,2.0,3.0,8,https://pypi.org/project/nmpyc,2024-10-09 15:00:01.000,,60.0,60.0,,,,False,mpc,3,,
50,CasADi_MPC_MHE_Python,,tomcattiger1230/CasADi_MPC_MHE_Python,,https://github.com/tomcattiger1230/CasADi_MPC_MHE_Python,https://github.com/tomcattiger1230/CasADi_MPC_MHE_Python,,2020-05-29 15:54:32,2025-03-19 01:39:56.000,2025-03-19 01:39:38,105.0,,38.0,4.0,,,,170.0,,,,This repository is an implementation of the work from Mohamed W. Mehrez. I convert the original code in MATLAB to the..,,,1.0,7,,,,,,,,,True,mpc,3,,
